run_id,dataset,config,best_val_accuracy,final_test_accuracy
cnn_relu_adam_glorot_uniform_None_32x64,fmnist,"{'filters': [32, 64], 'kernel': 3, 'activation': 'relu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'adam', 'initializer': 'glorot_uniform'}",0.9323333501815796,0.9174000024795532
cnn_relu_adam_he_normal_None_32x64,fmnist,"{'filters': [32, 64], 'kernel': 3, 'activation': 'relu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'adam', 'initializer': 'he_normal'}",0.934499979019165,0.9179999828338623
cnn_relu_sgd_glorot_uniform_None_32x64,fmnist,"{'filters': [32, 64], 'kernel': 3, 'activation': 'relu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'sgd', 'initializer': 'glorot_uniform'}",0.9383333325386047,0.929099977016449
cnn_relu_sgd_he_normal_None_32x64,fmnist,"{'filters': [32, 64], 'kernel': 3, 'activation': 'relu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'sgd', 'initializer': 'he_normal'}",0.9330000281333923,0.9212999939918518
cnn_relu_rmsprop_glorot_uniform_None_32x64,fmnist,"{'filters': [32, 64], 'kernel': 3, 'activation': 'relu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'rmsprop', 'initializer': 'glorot_uniform'}",0.9381666779518127,0.9175000190734863
cnn_relu_rmsprop_he_normal_None_32x64,fmnist,"{'filters': [32, 64], 'kernel': 3, 'activation': 'relu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'rmsprop', 'initializer': 'he_normal'}",0.9261666536331177,0.9097999930381775
cnn_relu_adam_glorot_uniform_l2_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 3, 'activation': 'relu', 'regularizer': 'l2', 'reg_value': 0.0001, 'dropout': 0.4, 'optimizer': 'adam', 'initializer': 'glorot_uniform'}",0.9386666417121887,0.9204000234603882
cnn_relu_adam_he_normal_l2_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 3, 'activation': 'relu', 'regularizer': 'l2', 'reg_value': 0.0001, 'dropout': 0.4, 'optimizer': 'adam', 'initializer': 'he_normal'}",0.9316666722297668,0.9247999787330627
cnn_relu_sgd_glorot_uniform_l2_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 3, 'activation': 'relu', 'regularizer': 'l2', 'reg_value': 0.0001, 'dropout': 0.4, 'optimizer': 'sgd', 'initializer': 'glorot_uniform'}",0.9380000233650208,0.925000011920929
cnn_relu_sgd_he_normal_l2_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 3, 'activation': 'relu', 'regularizer': 'l2', 'reg_value': 0.0001, 'dropout': 0.4, 'optimizer': 'sgd', 'initializer': 'he_normal'}",0.9351666569709778,0.9207000136375427
cnn_relu_rmsprop_glorot_uniform_l2_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 3, 'activation': 'relu', 'regularizer': 'l2', 'reg_value': 0.0001, 'dropout': 0.4, 'optimizer': 'rmsprop', 'initializer': 'glorot_uniform'}",0.9279999732971191,0.9194999933242798
